map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
Eyrie of Crows,Nemesis,1,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Dead Dawg Saloon,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Eyrie of Crows,Pig,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Eyrie of Crows,Nightmare,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),2,N
Treatment Theatre,Shape,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Torment Creek,Legion,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Lampkin Lane,Huntress,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Family Residence,Legion,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Rotten Fields,Hag,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Garden of Joy,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Badham Preschool I,Huntress,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Mount Ormond Resort,Dredge,2,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Dead Dawg Saloon,Cannibal,2,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),2,N
Badham Preschool IV,Huntress,1,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Raccoon City Police Station West Wing,Huntress,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
Shelter Woods,Artist,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Grim Pantry,Executioner,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Dead Dawg Saloon,Plague,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
The Thompson House,Nightmare,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),0,N
Lampkin Lane,Spirit,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),1,N
Family Residence,Deathslinger,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),1,N
Treatment Theatre,Ghostface,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),0,N
Treatment Theatre,Hag,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),0,N
Suffocation Pit,Hag,0,N,Lithe (V),Resilience (V),Off The Record (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Arcane Dowsing Rod (E),1,N
Mount Ormond Resort,Wraith,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),0,N
Mount Ormond Resort,Pig,1,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),1,N
Father Campbell's Chapel,Executioner,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),,N
Rancid Abattoir,,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),0,Y
The Game,Cenobite,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),,Y
Mount Ormond Resort,Clown,1,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),0,N
The Temple of Purgation,Artist,0,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Arcane Dowsing Rod (E),1,N
Eyrie of Crows,Huntress,3,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Annotated Blueprint (C),1,Y
Torment Creek,Nemesis,1,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Annotated Blueprint (C),1,Y
Dead Dawg Saloon,Artist,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Annotated Blueprint (C),0,Y
The Temple of Purgation,Shape,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Annotated Blueprint (C),1,Y
Family Residence,Ghostface,2,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Rancid Abattoir,Blight,1,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Midwich Elementary School,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),0,N
Ironworks of Misery,Ghostface,0,DC,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),-1,N
Ironworks of Misery,Executioner,3,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Family Residence,Legion,1,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Grim Pantry,Cannibal,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),0,N
Garden of Joy,Trapper,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),0,N
Raccoon City Police Station West Wing,Cannibal,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
The Game,Legion,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
The Temple of Purgation,Executioner,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Sanctum of Wrath,Spirit,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Toolbox (U),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
Torment Creek,Cannibal,2,Y,Windows of Opportunity (V),Dead Hard (V),Adrenaline (V),Deliverance (V),Toolbox (U),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
Torment Creek,Huntress,3,Y,Windows of Opportunity (V),Dead Hard (V),Adrenaline (V),Deliverance (V),Toolbox (U),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
Raccoon City Police Station East Wing,Cannibal,4,Y,Windows of Opportunity (V),Off The Record (V),Adrenaline (V),Deliverance (V),Toolbox (U),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),2,Y
Rancid Abattoir,Huntress,3,N,Windows of Opportunity (V),Off The Record (V),Adrenaline (V),Deliverance (V),Camping Aid Kit (C),,,Escape! Cake (U),0,N
Badham Preschool IV,Legion,0,N,Windows of Opportunity (V),Off The Record (V),Adrenaline (V),Deliverance (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
The Temple of Purgation,Cenobite,0,N,Windows of Opportunity (V),Off The Record (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),Wire Spool (U),Scraps (C),Escape! Cake (U),1,N
Wreckers Yard,Legion,3,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),1,N
The Thompson House,Huntress,1,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),1,N
Midwich Elementary School,Onryo,4,Y,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),1,N
The Game,Ghostface,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),1,N
Dead Dawg Saloon,Oni,,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),-1,N
The Thompson House,Wraith,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),,Scraps (C),Arcane Dowsing Rod (E),0,N
Lampkin Lane,Huntress,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),,Scraps (C),Arcane Dowsing Rod (E),?,N
Lampkin Lane,Spirit,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Worn-Out Tools (C),,Scraps (C),Arcane Dowsing Rod (E),-1,N
The Game,Nightmare,1,N,Windows of Opportunity (V),Off The Record (V),Adrenaline (V),Deliverance (V),Toolbox (U),Brand New Part (L),Scraps (C),Annotated Blueprint (C),1,Y
Midwich Elementary School,Blight,2,Y,Windows of Opportunity (V),Off The Record (V),Adrenaline (V),Deliverance (V),Toolbox (U),Brand New Part (L),Scraps (C),Petrified Oak (V),2,Y
Gas Heaven,Ghostface,4,Y,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Toolbox (U),Clean Rag (C),Scraps (C),Petrified Oak (V),1,N
Midwich Elementary School,Nurse,2,Y,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Toolbox (U),Clean Rag (C),Scraps (C),Arcane Dowsing Rod (E),1,N
Raccoon City Police Station East Wing,Legion,4,Y,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Toolbox (U),Clean Rag (C),Scraps (C),Arcane Dowsing Rod (E),1,N
Dead Dawg Saloon,Blight,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Toolbox (U),Clean Rag (C),Scraps (C),Arcane Dowsing Rod (E),-1,N
Azarov's Resting Place,Spirit,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Toolbox (U),Clean Rag (C),Scraps (C),Arcane Dowsing Rod (E),0,N
Wreckers Yard,Doctor,2,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Scraps (C),Socket Swivels (U),Arcane Dowsing Rod (E),0,N
Coal Tower,Demogorgon,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Scraps (C),Socket Swivels (U),Arcane Dowsing Rod (E),0,N
Badham Preschool III,Dredge,4,Y,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Scraps (C),Socket Swivels (U),Bloody Party Streamers (R),2,N
Raccoon City Police Station West Wing,Twins,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Bloody Party Streamers (R),1,Y
The Game,Cannibal,1,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Bloody Party Streamers (R),1,Y
Sanctum of Wrath,Cannibal,1,N,Open-Handed (V),Bond (V),Kindred (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),-1,Y
Mount Ormond Resort,Blight,4,Y,Lithe (V),Reassurance (V),We'll Make It (V),For The People (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,Y
Badham Preschool III,Ghostface,3,Y,Kindred (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,Y
Blood Lodge,Cenobite,3,N,Kindred (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,Y
Raccoon City Police Station West Wing,Huntress,2,Y,Kindred (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,Y
Blood Lodge,Ghostface,0,N,Empathy (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),-1,N
Dead Dawg Saloon,Ghostface,4,Y,Distortion (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,N
Midwich Elementary School,Mastermind,0,N,Distortion (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Mount Ormond Resort,Wraith,2,N,Distortion (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,N
Rancid Abattoir,Oni,1,Y,Distortion (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Worn-Out Tools (C),Scraps (C),,Escape! Cake (U),1,N
Wretched Shop,Trickster,0,N,Distortion (V),Reassurance (V),We'll Make It (V),Boon: Circle of Healing (V),Worn-Out Tools (C),Scraps (C),,Escape! Cake (U),1,N
The Game,Wraith,3,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Worn-Out Tools (C),Scraps (C),,Escape! Cake (U),1,N
Rancid Abattoir,Legion,1,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Toolbox (U),Scraps (C),,Escape! Cake (U),1,N
The Temple of Purgation,Shape,4,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Toolbox (U),Scraps (C),,Sealed Envelope (U),1,N
Mount Ormond Resort,Nurse,2,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Bloody Party Streamers (R),1,Y
Raccoon City Police Station East Wing,Nightmare,3,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Engineer's Toolbox (V),Brand New Part (L),Wire Spool (U),Bloody Party Streamers (R),1,Y
Raccoon City Police Station East Wing,Artist,2,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Toolbox (U),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
Treatment Theatre,Plague,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,Escape! Cake (U),-1,N
Grim Pantry,Oni,1,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,Escape! Cake (U),1,N
Family Residence,Huntress,2,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,Escape! Cake (U),-1,N
The Temple of Purgation,Dredge,4,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,Escape! Cake (U),1,N
Shelter Woods,Oni,1,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,,0,N
Raccoon City Police Station West Wing,Mastermind,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,Sealed Envelope (U),-1,N
Azarov's Resting Place,Nemesis,1,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),All Hallows' Eve Lunchbox (E),,,Sealed Envelope (U),-1,N
Coal Tower,Dredge,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),First Aid Kit (U),,,Sealed Envelope (U),1,N
Treatment Theatre,Artist,1,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),First Aid Kit (U),,,Sealed Envelope (U),0,N
Wreckers Yard,Artist,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),First Aid Kit (U),,,Sealed Envelope (U),-1,N
Badham Preschool IV,Nightmare,4,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Sealed Envelope (U),0,N
Groaning Storehouse,Spirit,3,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Alex's Toolbox (V),Hacksaw (R),Protective Gloves (U),Sealed Envelope (U),1,N
Ironworks of Misery,Ghostface,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Alex's Toolbox (V),Hacksaw (R),Protective Gloves (U),Sealed Envelope (U),0,N
Suffocation Pit,Wraith,2,Y,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Flashlight (U),Hacksaw (R),Leather Grip (C),Sealed Envelope (U),1,N
Dead Dawg Saloon,Nightmare,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,N
Blood Lodge,Mastermind,1,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),-1,N
Sanctum of Wrath,Hag,0,N,Distortion (V),Overcome (V),We'll Make It (V),Boon: Circle of Healing (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),-1,N
Mount Ormond Resort,Cannibal,1,Y,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Bloody Party Streamers (R),1,N
The Game,Ghostface,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Brand New Part (L),Clean Rag (C),Bloody Party Streamers (R),1,Y
Badham Preschool III,Trapper,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Brand New Part (L),Clean Rag (C),Bloody Party Streamers (R),-1,Y
Mount Ormond Resort,Nightmare,4,Y,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,Y
,Deathslinger,1,N,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Bloody Party Streamers (R),0,Y
Blood Lodge,Huntress,2,Y,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Bloody Party Streamers (R),1,Y
Blood Lodge,Ghostface,4,Y,Open-Handed (V),Bond (V),Kindred (V),For The People (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,Y
Mount Ormond Resort,Spirit,1,N,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,N
The Game,Ghostface,4,Y,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Ironworks of Misery,Ghostface,2,Y,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Rancid Abattoir,Executioner,3,Y,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Blood Lodge,Executioner,1,N,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),-1,N
Badham Preschool IV,Doctor,0,N,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Gas Heaven,Executioner,1,Y,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Midwich Elementary School,Plague,?,N,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),,N
Mount Ormond Resort,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Escape! Cake (U),1,Y
Midwich Elementary School,Shape,4,Y,Open-Handed (V),Bond (V),Kindred (V),For The People (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Bloody Party Streamers (R),0,Y
Raccoon City Police Station West Wing,Demogorgon,0,N,Open-Handed (V),Bond (V),Kindred (V),For The People (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Bloody Party Streamers (R),1,Y
Eyrie of Crows,Clown,0,N,Open-Handed (V),Bond (V),Kindred (V),For The People (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Crow's Eye (R),-1,Y
Dead Dawg Saloon,Nurse,1,N,For The People (V),We're Gonna Live Forever (V),Resilience (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Clean Rag (C),Bound Envelope (R),0,Y
Raccoon City Police Station West Wing,Shape,4,Y,Open-Handed (V),Bond (V),Kindred (V),For The People (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),1,Y
Lampkin Lane,Ghostface,1,N,Open-Handed (V),Bond (V),Kindred (V),Balanced Landing (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),1,N
Fractured Cowshed,Oni,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),0,N
Fractured Cowshed,Mastermind,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),1,N
The Game,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),1,N
Blood Lodge,Mastermind,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),1,N
Groaning Storehouse,Onryo,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),0,N
Groaning Storehouse,Legion,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Bound Envelope (R),1,N
